type,title,abstract,date,startTime,endTime,room
Chalk talk,"Balancing resilience, security, and cost in cloud architecture","As organizations develop cloud infrastructure, they must balance resilience, security, and cost optimization in their architectures. This talk explores the complex relationships between these priorities, providing a framework for informed decision-making. Participants learn resilience strategies like multi-Region deployments; security measures for identity, access, and data protection; and cost optimization techniques using cost-effective services and resource utilization. Using real-world case studies, assess your organization's needs and make strategic architectural decisions that align with business objectives. By navigating the tradeoffs between resilience, security, and cost, learn to design reliable, secure, and cost-effective cloud systems.",2024-12-02,13:00,14:00,Caesars Forum | Level 1 | Forum 132
Bootcamp,Become an expert on AWS observability services,"This bootcamp is intended for AWS Partners. This bootcamp provides a deep dive into AWS observability services such as Amazon CloudWatch, AWS X-Ray, Amazon Managed Service for Prometheus, Amazon Managed Grafana, and AWS Distro for OpenTelemetry. Come gain hands-on experience with features, possibilities, and solutions offered by the AWS observability suite. This bootcamp covers creating custom dashboards, using feature experimentation, and using logging and monitoring for troubleshooting. By the end, you have the ability to champion the value of AWS observability services, even without prior AWS expertise. You must bring your laptop to participate.",2024-12-03,08:00,17:00,Mandalay Bay | Level 2 South | Breakers K
Chalk talk,Be prepared: Learning from incident response [REPEAT],"Everyone needs a plan for when the worst happens. It’s not if things happen but when things happen. In this session, learn how AWS monitors, detects, and manages incidents. Find out what and how the tools AWS has at hand can help you learn and grow from each event and help make sure that responses are constantly improved. With this session get visibility into the operational excellence of real-world scenarios that not just affect an organization’s bottom line, but its reputation.",2024-12-02,15:00,16:00,MGM | Level 3 | Premier 320
Chalk talk,Best practices for migrating to Amazon OpenSearch Service [REPEAT],"Migrating to Amazon OpenSearch Service involves five main steps: plan, POC, deploy, data migration, and cutover. In this chalk talk, learn how to build a successful migration strategy to OpenSearch Service. Hear technical guidance on the key milestones in each migration step, starting with your premigration inventory up to your cutover stage. This talk also teaches you how to use Amazon OpenSearch Ingestion to accelerate your migration journey to OpenSearch Service.",2024-12-02,16:00,17:00,Caesars Forum | Level 1 | Forum 132
Breakout session,Best practices for serverless developers,"Do you want to take advantage of the full power of serverless architectures for your production workloads? Are you wondering how events can help your applications scale? Have you been trying to tune your applications for higher performance and lower cost? This session provides architectural best practices, optimizations, and useful shortcuts that experts can use to build secure, high-scale, and high-performance serverless applications.",2024-12-02,15:00,16:00,Venetian | Level 3 | Lido 3002
Breakout session,Beyond productivity: Using generative AI to grow in financial services,"The present has caught up with the future in financial services. New generative AI capabilities have helped financial institutions automate labor-intensive tasks like extracting information from unstructured data sources, summarizing complex documents, and curating market intelligence. These investments in improving productivity have paved the way for the industry to focus on harnessing generative AI to create business value. Companies are engaging more meaningfully with their customers, identifying sales opportunities more efficiently, increasing lead conversion, and driving adoption of new products. Hear from industry leaders how they built and are running new growth-focused generative AI applications in production on AWS.",2024-12-03,14:30,15:30,Wynn | Convention Promenade | Latour 2
Breakout session,Beyond the chatbot: How AI makes real-time business-critical decisions (sponsored by Aerospike),"Learn how AI and machine learning drive critical business decisions in real time. This session explores the intricacies of data science, from sourcing and modeling data to implementing online machine learning for adaptive intelligence. See a case study on how to scale these processes using AWS technologies like Karpenter for Kubernetes, achieving lightning-fast response times on 60% less infrastructure, and handling disruptions with ease—all while managing 200 billion writes per day with sub-millisecond latency. Discover how AI can have a measurable impact on your business operations. This presentation is brought to you by Aerospike, an AWS Partner.",2024-12-02,15:00,16:00,MGM | Level 1 | Grand 116
Chalk talk,Boost customer retention and loyalty with Amazon Connect,"This chalk talk explores strategies to simplify customer interactions across channels to enhance customer loyalty, leveraging Amazon Connect. Discover how to predict customer intent and design effective customer engagement strategies for preferred channels and solve customer issues before they arise. Learn to capture customer feedback, sentiment, and AI-driven insights to continuously improve experiences. Understand best practices for enabling self-service and seamless omnichannel engagements and walk away with actionable techniques to measure and optimize customer effort, fostering loyalty and business growth. ",2024-12-02,13:00,14:00,MGM | Level 3 | 305
Builders' Fair,Bot-ticelli: Robotic sketch artist [REPEAT],"Bot-ticelli is a robotic artist capable of sketching a human face. It is a combination of technologies (generative AI and robotics) and showcases how they can be combined on AWS. The robot works with a camera that takes a frontal shot of a human and runs it through a generative AI pipeline (SDXL and ControlNet) to generate a sketch image. The sketch is converted to G-code instruction for a robotic arm, which is rendered on paper. Walk away with a robot-drawn portrait, signed by Bot-ticelli.",2024-12-02,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 14
Builders' Fair,Bot-ticelli: Robotic sketch artist [REPEAT],"Bot-ticelli is a robotic artist capable of sketching a human face. It is a combination of technologies (generative AI and robotics) and showcases how they can be combined on AWS. The robot works with a camera that takes a frontal shot of a human and runs it through a generative AI pipeline (SDXL and ControlNet) to generate a sketch image. The sketch is converted to G-code instruction for a robotic arm, which is rendered on paper. Walk away with a robot-drawn portrait, signed by Bot-ticelli.",2024-12-03,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 14
Code talk,Build a meeting summarization solution with generative AI & serverless,"In this code talk, see live coding of a serverless application for producing meeting summaries with generative AI. Learn how to orchestrate transcription using Amazon Transcribe and summarization with Amazon Bedrock, orchestrated with AWS Step Functions. Discover how to simplify and scale your application using event-driven techniques with Amazon EventBridge. Leave with practical skills for developing serverless generative AI solutions that streamline meeting insights through automated transcription and summarization powered by AI/ML services.",2024-12-02,14:30,15:30,Wynn | Convention Promenade | Margaux 1
Breakout session,Build an AI gateway for Amazon Bedrock with AWS AppSync,"Integrating generative AI into applications can be complex, often requiring developers to deal with complex permissions, exposed credentials, and identity management challenges when accessing AI backends. This session discusses how to use AWS AppSync to simplify integration with AI backends like Amazon Bedrock, implement tailored queries for your use cases, take advantage of security features to deploy a production-ready API, and control access to your generative AI resources. It covers both synchronous and asynchronous use cases.",2024-12-02,10:30,11:30,Wynn | Level 1 | Lafite 4 | Content Hub | Orange Screen
Builders' session,Build a secure GraphQL with AWS AppSync [REPEAT],"In this session, attendees learn how to use AWS Amplify Studio and AWS AppSync to build a secure and scalable GraphQL API. Start by exploring the benefits of a GraphQL-based architecture and how it can simplify application development. Then dive into a working session where participants create their own GraphQL API, configure authentication and authorization, and deploy it into production in your account. You must bring your laptop to participate.",2024-12-02,13:00,14:00,Caesars Forum | Level 1 | Alliance 315
Workshop,Build & deploy an enterprise-grade app in two hours with AWS App Studio,"Dive deep and get hands-on experience with AWS App Studio to build a complex, multistep purchase order approval application that extracts information from an uploaded PDF and then summarizes and evaluates the content using AI capabilities. In this workshop, learn about the high-level architecture, and build this application in small groups, experiencing firsthand the power of App Studio in rapidly developing enterprise-ready applications. You must bring your laptop to participate.",2024-12-02,08:00,10:00,Mandalay Bay | Lower Level North | Islander C
Workshop,Build highly accurate custom ML models without writing code,"Building machine learning (ML) models involves complex and time-consuming tasks from data preparation to model building and model deployment. Amazon SageMaker Canvas makes it easy to prepare training-ready datasets at petabyte scale, build highly accurate custom ML models for regression, classification, and forecasting using AutoML, and deploy ML models without writing a single line of code. In this workshop, discover how to build custom ML models through hands-on exercises,  and learn how to fine-tune foundation models. You must bring your laptop to participate.",2024-12-02,15:00,17:00,Mandalay Bay | Level 2 South | Oceanside C
Breakout session,Building advanced workflows with AWS Step Functions,"Are you an experienced serverless developer building applications with AWS Step Functions workflows? Are you wondering when to use a Map state, a Parallel state, or a nested workflow? In this session, learn how you can use generative AI to generate state machines automatically from textual descriptions and chat with your workflow to optimize it. Learn about architectural best practices and repeatable patterns for building advanced workflows. Discover how to build secure, high-scale, and high-performance serverless applications while being cost-effective. This session shares real production scenarios to illustrate the benefits for you.",2024-12-02,09:00,10:00,Venetian | Level 3 | Lido 3002
Breakout session,Building an educational startup on AWS: A heroic journey,"Gather 'round for the tale of two AWS heroes on their journey through the world of cloud. The goal: build and deploy an educational platform for AWS, on AWS. They will guide you over the hills & down the valleys of developing with MFA in Amazon Cognito, working with AWS Amplify, securing with AWS WAF, persisting users in Amazon DynamoDB, handling requests with Amazon API Gateway, and building with AWS Lambda and Powertools. Come see if our adventurers succeeded in their quest or end up at the last ""Outpost.""",2024-12-03,13:00,14:00,MGM | Level 1 | Grand 120
Breakout session,Building core capabilities: The secret to innovation at scale,"Unlock the potential of your business by learning the art of building core capabilities, the ultimate accelerators of innovation. From customer data platforms and personalization engines to fraud detection systems and conversational AI, discover how these platforms can empower your teams to innovate with speed and efficiency. Explore the patterns that define successful platforms, hear insights gathered from real-world customer interactions, and see a roadmap for initiating and scaling your own platform-driven transformation. Whether you’re a technical expert or a business leader, join this session to gain actionable strategies and start your journey toward scalable disruption and cost-efficient innovation.",2024-12-02,12:00,13:00,Mandalay Bay | Lower Level North | South Pacific E | Purple
Workshop,Building event-driven architectures [REPEAT],"Many organizations choose to build event-driven application architectures in which subscribers or target services automatically perform in response to events triggered by publisher or source services. This pattern can help development teams operate more independently to release new features faster and make their applications more scalable. In this workshop, learn about the basics of event-driven design using examples involving Amazon SNS, Amazon SQS, AWS Lambda, Amazon EventBridge, and more. Find out how to choose the right AWS service for the job and how you can optimize cost and performance. You must bring your laptop to participate.",2024-12-03,15:30,17:30,MGM | Level 3 | Premier 316
Workshop,Building GraphQL APIs with AWS AppSync,"In this workshop, discover the functionality of AWS AppSync, a fully managed service that makes it easy to develop GraphQL APIs. Learn how AWS AppSync handles the heavy lifting of securely connecting to data sources like Amazon DynamoDB, Amazon Bedrock, AWS Lambda, and more. You must bring your laptop to participate.",2024-12-02,15:30,17:30,Caesars Forum | Level 1 | Summit 216
Breakout session,Building production-grade resilient architectures with Amazon EKS,"Platform teams need to effectively manage thousands of clusters to meet the demands of growing organizations. In this session, learn how to manage and upgrade clusters at scale without compromising security, resiliency, performance, and cost. See how you can use open source tools like ACK, Argo CD, and Backstage to build and maintain Amazon EKS clusters at scale, as well as provide a single pane of glass as an inventory of Amazon EKS clusters across your entire AWS organization. Explore architecture techniques to ensure workload resiliency with enhanced observability, enabling rapid issue identification across Amazon EKS clusters.",2024-12-02,10:00,11:00,Mandalay Bay | Lower Level North | Islander F
Breakout session,Building resilient applications on AWS with Capital One,"Are you concerned about running mission-critical applications on AWS? Did you know that AWS hosts mission-critical applications for some of the largest and most-regulated businesses on earth? In this session, discover the patterns and principles of AWS resilience best practices. Then, hear Capital One showcase its next-generation design and deployment patterns that push the boundaries of resilient architectures and support its most critical business processes. Learn about the AWS services it uses, the tradeoffs it must consider, and the decision matrix that guides developers to the right pattern for the right use case.",2024-12-03,13:30,14:30,Mandalay Bay | Level 3 South | Jasmine F
Workshop,Building resilient architectures with observability,"As cloud-based applications become increasingly complex and dynamic, ensuring resilience and reliability is a critical concern for organizations. In this workshop, explore how to use AWS services, including AWS Resilience Hub, Amazon CloudWatch, and AWS Fault Injection Service, to build resilient and reliable cloud-based applications. Learn how to implement observability strategies that enable proactive monitoring, rapid incident response, and continuous improvement. You must bring your laptop to participate.",2024-12-04,08:30,10:30,Mandalay Bay | Level 2 South | Oceanside A
Workshop,Building secure serverless applications [REPEAT],"In this hands-on workshop, learn techniques to secure a serverless application built with AWS Lambda, Amazon API Gateway, and Amazon Aurora. Discover AWS services and features that you can use to improve the security of a serverless application in five domains: identity and access management, infrastructure, data, code, and logging and monitoring. Finally, explore new features including integrations with Amazon Inspector and Amazon GuardDuty. You must bring your laptop to participate.",2024-12-04,12:30,14:30,MGM | Level 3 | Premier 315
Workshop,Building serverless applications using Terraform,"In this workshop, explore how to streamline serverless application development using Terraform. Discover best practices for leveraging Terraform to achieve agility, consistency, and scalability. Dive into automation tips and integration strategies that enable seamless serverless development workflows. Leave with best practices that you can apply immediately. You must bring your laptop to participate.",2024-12-02,15:00,17:00,Mandalay Bay | Level 2 South | Lagoon F
Workshop,Build modern architectures with event storming & domain-driven design,"Calling all developers! Join this immersive workshop and learn about event storming and domain-driven design. Through collaborative exercises, you use multicolored sticky notes to identify events, actors, commands, aggregates, business rules, and external systems for real-world use cases. Then, you use these insights to define bounded contexts and architect microservices. Explore design patterns and deployment approaches to bring your domain-driven solutions to life. Leave with practical skills to tackle complex business problems using these powerful techniques. You must bring your laptop to participate.",2024-12-02,12:30,14:30,Mandalay Bay | Lower Level North | Islander I
Workshop,Build real-time applications with AWS Amplify & AWS AppSync WebSockets,"Learn how to create applications that use real-time data to improve user engagement. In this workshop, build a multiplayer trivia application with live score updates and group chat functionality. Use AWS Amplify to connect an application frontend to a serverless backend built with AWS AppSync WebSockets. You must bring your laptop to participate.",2024-12-04,12:30,14:30,Wynn | Upper Convention Promenade | Cristal  1
Chalk talk,Build resilient architectures with Amazon EBS,"Among the components of a resilient system, storage is fundamental for any enterprise application. In this chalk talk, learn best practices for configuring Amazon EBS for resilience and high availability, including how to use observability metrics to gain granular visibility into the performance of your EBS volumes to proactively monitor volume health and improve application resiliency. Walk through how to use the Pause I/O action in AWS Fault Injection Service to simulate an unresponsive state of an Amazon EBS volume. Discover how Amazon EBS can help you meet even the most demanding service levels for mission-critical applications.",2024-12-02,13:30,14:30,MGM | Level 3 | 302
Chalk talk,Build secure & performant apps easily with Amazon ECS & AWS Fargate [REPEAT],"Application architectures built with proven methodologies help organizations create performant, cost-efficient, and secure applications. In this chalk talk, get insights into how to leverage Amazon ECS and AWS Fargate best practices that are rooted in the AWS Well-Architected Framework across the security, reliability, performance efficiency, and operational excellence pillars, and learn how to apply these methodologies directly to your Amazon ECS workloads.",2024-12-02,11:30,12:30,Caesars Forum | Level 1 | Summit 220
Keynote,CEO Keynote with Matt Garman,"Join AWS CEO Matt Garman to hear how AWS is innovating across every aspect of the world’s leading cloud. He explores how we are reinventing foundational building blocks as well as developing brand new experiences, all to empower customers and partners with what they need to build a better future.",2024-12-03,08:00,10:30,Venetian | Level 2 | Venetian Ballroom F
Gamified learning,Cloud journey tabletop experience [REPEAT],"Dive into an interactive cloud journey tabletop experience where visionary leaders converge to shape the fate of a fictional organization. Harnessing the power of collaborative decision-making, attendees embark on a transformative journey, unlocking invaluable insights typically accrued over years of real-world experience. In this immersive and competitive environment, teams vie to elevate automation, cultivate operational agility, fortify risk-aligned security frameworks, and amplify strategic influence. Join us to accelerate your understanding of cloud security dynamics, and emerge equipped with actionable strategies to propel your organization toward resilient and forward-thinking security practices.",2024-12-02,08:30,10:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom L | Content Hub | Table Top
Chalk talk,Cost optimization for Amazon DynamoDB [REPEAT],"Developers love building on powerful, serverless Amazon DynamoDB, and as their production tables grow in size and traffic, they want to discover what mechanisms and optimizations can be applied to reduce costs. Cost optimization can be done both in the design phase and during operations. In this chalk talk, learn how to model and measure costs and discover cost optimization tools that can help you along the way.",2024-12-02,14:30,15:30,Caesars Forum | Level 1 | Forum 132
Builders' session,Create your first API from scratch with OpenAPI and Amazon API Gateway [REPEAT],"In this builders’ session, learn how to design and provision complete APIs using infrastructure as code. Follow the OpenAPI specification for API design, leveraging extensions to interact with Amazon API Gateway. Configure features like caching, rate limiting, message transformation, payload validation, and API keys with usage plans for backend integration. Leave with practical skills for defining and deploying APIs as code adhering to the OpenAPI standard. You must bring your laptop to participate.",2024-12-02,10:00,11:00,Caesars Forum | Level 1 | Summit 232 | Content Hub | Builder's 1
Community activities,Customize your AWS re:Invent hoodie,Bring your AWS re:Invent conference hoodie to this station and choose a custom graphic to get printed on it.,2024-12-01,10:00,18:00,Venetian | Level 2 | Hall C
Breakout session,Data modeling core concepts for Amazon DynamoDB,"Join this session to learn the core concepts of Amazon DynamoDB data modeling. Explore best practices for common access patterns used by DynamoDB customers for applications that need consistent, fast performance at any scale. Developers experienced with DynamoDB can learn best practices and trade-offs to make when deciding on single-table and multi-table designs, indexing strategies, and more.",2024-12-02,10:30,11:30,Mandalay Bay | Level 3 South | South Seas B
Workshop,Define your next $1B opportunity with generative AI and work backwards,"This collaborative workshop is for business and technical leaders who want to understand and experience Amazon’s customer-centric approach to innovation. The content is inspired by Amazon’s Working Backwards process—the same innovation mechanism used to develop products and services such as AWS, Amazon Prime, Amazon Kindle, Amazon Echo, Amazon Alexa, and Amazon Go. The workshop features activities that demonstrate the power of generative AI in the context of product innovation. You must bring your laptop to participate.",2024-12-02,08:30,10:30,Venetian | Level 3 | Lido 3006
Breakout session,Demystifying containers on AWS: What’s right for you?,"This session dives into the details of running containers on AWS and the nuances that will affect which service you choose. Receive advice on when it is time to migrate to a different service, as well as the trade-offs between cost, complexity, and knowledge, in order to find the best combination for your use case. The session is hands-on and demo-driven to show how you can quickly test out the different options for yourself and decide which approach is best for you.",2024-12-05,14:00,15:00,MGM | Level 3 | Premier 318
Chalk talk,Design smart home solutions for resiliency and scalability on AWS IoT,"Unlock the full potential of IoT in the smart home domain with AWS IoT. In this chalk talk, learn how to build robust and scalable smart home solutions with AWS IoT. Explore key considerations and best practices for designing resilient and scalable architectures that can handle large-scale deployments. From device connectivity and management to real-time interaction and control, discover the strategies and architectures that will empower you to create an IoT ecosystem that delights your consumers.",2024-12-02,17:30,18:30,Caesars Forum | Level 1 | Summit 220
Breakout session,Design well-architected networks on AWS,"Elevate your AWS networking expertise by learning how to design well-architected networks on AWS. This session starts with the tradeoffs of multi-AZ and multi-Region architectures and how to build an Amazon Virtual Private Cloud (VPC). Next, it explores design challenges when connecting multiple VPCs and on-premises datacenters, followed by a discussion on building a scalable DNS infrastructure on AWS. Finally, we will consider several common network architecture patterns on AWS, such as application ingress and egress. Leave equipped with the insights needed to create resilient, secure, and scalable network infrastructure on AWS.",2024-12-02,14:30,15:30,MGM | Level 1 | Grand 120
Builders' Fair,Don't lose your marbles: Navigate your way to cloud mastery [REPEAT],"Experience the excitement of deploying a workload on AWS through an engaging and interactive marble run challenge. Participants will guide their marble through a series of obstacles and puzzles, answering AWS Cloud Practitioner questions to unlock gates and progress toward the finish line. This unique activity combines the thrill of a marble run with the educational journey of cloud deployment, making it both fun and informative.",2024-12-02,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 8
